Item Fat Content,Item Identifier,Si No,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility, Sales ,Rating
Regular,DRA59,547,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0, $183.29 ,4.7
Low Fat,FDI14,548,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.089660816, $140.05 ,4.7
Low Fat,FDT37,549,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.035263498, $254.80 ,4.7
Low Fat,FDX25,550,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10203648, $180.93 ,4.7
Low Fat,DRH03,551,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.035057688, $91.61 ,4.7
Low Fat,FDA58,552,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.103731617, $236.99 ,4.7
Regular,FDY35,553,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.016024651, $44.04 ,4.7
Regular,FDH05,554,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.090896452, $231.30 ,4.7
Regular,FDI41,555,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.062245149, $145.84 ,4.7
Regular,FDO20,556,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.152099033, $252.64 ,4.7
Regular,FDC57,557,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054584207, $193.38 ,4.7
Regular,FDT27,558,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.069574013, $232.86 ,4.7
Low Fat,FDT34,559,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.291826616, $107.20 ,4.7
Low Fat,FDK51,560,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.008762556, $266.69 ,4.7
Low Fat,FDK04,561,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.087559621, $55.26 ,4.7
Low Fat,NCZ53,562,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.040969757, $188.72 ,4.7
Regular,FDV04,563,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.251094747, $156.63 ,4.7
Regular,FDR22,564,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.031069993, $112.05 ,4.7
Low Fat,FDO24,565,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.176069023, $156.76 ,4.7
Low Fat,FDQ24,566,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.073605395, $249.67 ,4.7
Low Fat,NCH29,567,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.034445116, $95.87 ,4.7
Low Fat,NCW54,568,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.096333029, $57.86 ,4.7
Low Fat,NCP30,569,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.032741422, $40.48 ,4.7
Low Fat,FDQ46,570,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.103726639, $110.65 ,4.7
Regular,FDY12,571,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0, $49.20 ,4.7
Low Fat,FDV38,572,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.102188428, $54.40 ,4.7
Low Fat,FDJ53,573,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.071548187, $120.21 ,4.7
Low Fat,FDE22,574,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029693277, $159.79 ,4.7
Regular,FDB14,575,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.103142373, $94.61 ,4.7
Regular,FDU58,576,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029129907, $188.49 ,4.7
Regular,FDB23,577,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.005611367, $226.21 ,4.7
Low Fat,FDK24,578,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.10080442, $45.47 ,4.7
Low Fat,FDW49,579,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.082152451, $179.90 ,4.7
Low Fat,NCW53,580,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.030347404, $192.52 ,4.7
Low Fat,NCB18,581,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.041091215, $89.55 ,4.7
Low Fat,DRD13,582,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.048841794, $64.72 ,4.7
Low Fat,DRF01,583,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.174232377, $146.61 ,4.7
Low Fat,FDN48,584,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.113720344, $89.98 ,4.6
Regular,FDQ49,585,Breakfast,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.039057677, $155.96 ,4.6
Low Fat,DRG27,586,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.105274111, $39.91 ,4.6
Low Fat,FDD03,587,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079806266, $232.53 ,4.6
Low Fat,NCE06,588,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.160178832, $160.29 ,4.6
Regular,FDJ60,589,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.062655235, $163.32 ,4.6
Low Fat,FDG52,590,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.065576228, $47.74 ,4.6
Low Fat,FDU59,591,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.096536082, $162.86 ,4.6
Low Fat,DRK39,592,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.049942926, $82.43 ,4.6
Low Fat,DRL60,593,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027101431, $151.77 ,4.6
Regular,FDP48,594,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.044091657, $183.00 ,4.6
Regular,FDA35,595,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053921264, $123.01 ,4.6
Regular,FDQ40,596,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.036083537, $175.47 ,4.6
Regular,FDH44,597,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025912378, $146.84 ,4.6
Regular,FDJ21,598,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03858813, $144.61 ,4.6
Regular,FDW26,599,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.187443314, $220.48 ,4.6
Regular,FDB35,600,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.113139486, $92.98 ,4.6
Low Fat,FDB08,601,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.031103357, $159.96 ,4.6
Low Fat,NCY18,602,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.031151633, $173.21 ,4.6
Low Fat,NCR38,603,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.113518466, $253.57 ,4.6
Low Fat,FDK21,604,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010012319, $250.44 ,4.6
Low Fat,DRF01,605,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0, $147.51 ,4.6
Regular,FDA02,606,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.029722659, $143.48 ,4.6
Regular,FDD40,607,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.014793357, $191.52 ,4.6
Regular,FDM58,608,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079690403, $113.45 ,4.6
Regular,FDU24,609,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.140163038, $94.21 ,4.6
Low Fat,FDS55,610,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.081328781, $150.07 ,4.6
Low Fat,FDC45,611,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.136008489, $171.71 ,4.6
Low Fat,FDB33,612,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.014609738, $160.43 ,4.6
Low Fat,NCP42,613,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.016143389, $194.25 ,4.6
Low Fat,NCL54,614,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.082921642, $175.21 ,4.6
Low Fat,NCC07,615,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.023999722, $104.10 ,4.6
Low Fat,FDP60,616,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.056235142, $102.00 ,4.6
Low Fat,FDI14,617,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.090185027, $140.25 ,4.6
Low Fat,FDJ07,618,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.014505108, $118.42 ,4.6
Low Fat,DRD12,619,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.077630199, $90.91 ,4.6
Low Fat,DRN37,620,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.096842096, $166.12 ,4.6
Low Fat,DRF37,621,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.084809658, $261.19 ,4.6
Regular,FDX35,622,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.080072603, $228.20 ,4.6
Regular,FDP28,623,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.080804019, $261.19 ,4.6
Regular,FDJ27,624,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.122123201, $100.77 ,4.6
Regular,FDF10,625,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.157246634, $145.64 ,4.6
Regular,DRC13,626,Soft Drinks,2015,OUT045,Tier 2,High,Supermarket Type1,0, $122.57 ,4.6
Regular,FDG12,627,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.00636189, $121.11 ,4.6
Regular,FDH50,628,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.162348584, $185.93 ,4.6
Regular,FDE20,629,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.005561798, $168.38 ,4.6
Regular,FDU03,630,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.092095924, $183.33 ,4.6
Low Fat,FDW59,631,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020711996, $82.76 ,4.6
Low Fat,FDN32,632,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015557426, $184.73 ,4.6
Low Fat,NCK05,633,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077439606, $60.65 ,4.6
Low Fat,NCJ18,634,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.163910938, $119.21 ,4.6
Low Fat,NCE30,635,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09911729, $210.79 ,4.6
Low Fat,FDX15,636,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.156269303, $159.66 ,4.6
Low Fat,FDT22,637,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11207602, $58.02 ,4.6
Low Fat,FDR10,638,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.010037996, $163.56 ,4.6
Low Fat,DRL49,639,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.056418354, $142.48 ,4.6
Regular,FDF29,640,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.019930418, $131.53 ,4.6
Regular,FDT56,641,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.115570552, $57.52 ,4.6
Regular,FDN03,642,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015087112, $250.14 ,4.6
Regular,FDW15,643,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.055103174, $149.77 ,4.6
Regular,FDU51,644,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.096495426, $175.60 ,4.6
Low Fat,FDQ14,645,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.103419257, $148.11 ,4.6
Low Fat,DRC27,646,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.097251621, $245.78 ,4.6
Low Fat,DRE03,647,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.040550868, $45.57 ,4.6
Low Fat,FDD16,648,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.060847634, $75.07 ,4.6
Low Fat,FDT03,649,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.016735879, $185.26 ,4.6
Low Fat,FDG47,650,Starchy Foods,2011,OUT010,Tier 3,High,Grocery Store,0.116527666, $261.43 ,4.6
Low Fat,FDG60,651,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.060649213, $232.76 ,4.6
Low Fat,FDS37,652,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.031918284, $117.75 ,4.6
Low Fat,DRG03,653,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.061934991, $154.50 ,4.6
Low Fat,FDB52,654,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.030410273, $256.07 ,4.6
Low Fat,FDK40,655,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0, $262.69 ,4.6
Low Fat,NCZ53,656,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.024456797, $186.62 ,4.6
Low Fat,NCP41,657,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.016197216, $108.86 ,4.6
Low Fat,NCY42,658,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.015149955, $144.05 ,4.6
Low Fat,NCO43,659,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.047059016, $100.10 ,4.6
Low Fat,FDR46,660,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.139301634, $144.98 ,4.6
Low Fat,FDW58,661,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.007546808, $104.16 ,4.6
Regular,FDX36,662,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.128176489, $224.84 ,4.6
Regular,FDM01,663,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,0.094488485, $100.73 ,4.6
Regular,FDX38,664,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0481669, $48.84 ,4.6
Regular,FDH53,665,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.019183756, $83.76 ,4.6
Regular,FDZ51,666,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.054507422, $96.31 ,4.6
Regular,FDV57,667,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.065841719, $179.87 ,4.6
Low Fat,FDV59,668,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0, $217.62 ,4.6
Low Fat,FDT02,669,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02429329, $33.49 ,4.6
Low Fat,DRD60,670,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.037383778, $179.76 ,4.6
Low Fat,FDV35,671,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128728258, $155.33 ,4.6
Low Fat,FDK14,672,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.041273236, $82.49 ,4.6
Low Fat,DRC27,673,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.058339153, $246.28 ,4.6
Low Fat,NCL53,674,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036382524, $177.90 ,4.6
Regular,FDK26,675,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032308482, $185.22 ,4.6
Low Fat,FDD57,676,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.022291121, $93.61 ,4.6
Low Fat,FDM03,677,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0, $109.19 ,4.6
Low Fat,FDX15,678,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.155541973, $159.76 ,4.6
Low Fat,FDA10,679,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.141129263, $121.61 ,4.6
Regular,FDE56,680,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.158424516, $62.42 ,4.6
Regular,FDS31,681,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.043978369, $178.43 ,4.6
Regular,FDW39,682,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.036731658, $177.24 ,4.6
Regular,FDY39,683,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0, $182.06 ,4.6
low fat,NCQ53,684,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018813776, $235.26 ,4.6
Regular,FDG35,685,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.007006883, $173.57 ,4.6
Low Fat,NCP18,686,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.028760013, $151.47 ,4.5
Low Fat,FDY58,687,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.040081193, $227.07 ,4.5
Low Fat,NCB06,688,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.082316506, $160.69 ,4.5
Regular,FDB36,689,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0, $132.56 ,4.5
Low Fat,FDR47,690,Breads,2011,OUT010,Tier 3,Small,Grocery Store,0, $196.58 ,4.5
Regular,FDE10,691,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.150554711, $130.06 ,4.5
Low Fat,DRK01,692,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06105276, $95.44 ,4.5
Low Fat,FDL22,693,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036390174, $91.45 ,4.5
Low Fat,NCD06,694,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.099729888, $46.31 ,4.5
Low Fat,NCT54,695,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.119721451, $95.51 ,4.5
Low Fat,FDV59,696,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.048124443, $216.72 ,4.5
Regular,FDY49,697,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.011953902, $164.52 ,4.5
Low Fat,NCS54,698,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.009984847, $175.44 ,4.5
Low Fat,NCJ54,699,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.059776237, $231.76 ,4.5
Low Fat,FDR60,700,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.131152799, $78.63 ,4.5
Regular,FDJ20,701,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100330684, $123.44 ,4.5
Low Fat,DRM11,702,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.066014596, $259.73 ,4.5
Low Fat,FDK44,703,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.122475364, $175.57 ,4.5
Low Fat,FDP10,704,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.128065918, $104.36 ,4.5
Regular,FDG14,705,Canned,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.050786366, $152.20 ,4.5
Low Fat,FDA10,706,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0, $120.91 ,4.5
Low Fat,FDO34,707,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.030108283, $165.98 ,4.5
Low Fat,FDN15,708,Meat,2011,OUT010,Tier 3,Medium,Grocery Store,0.028009382, $141.72 ,4.5
Low Fat,NCN41,709,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.052165855, $125.07 ,4.5
Low Fat,DRE27,710,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.13267058, $96.47 ,4.5
Low Fat,FDU40,711,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.062606583, $192.25 ,4.5
Low Fat,NCS54,712,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010008699, $176.74 ,4.5
Low Fat,NCL55,713,Others,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065026434, $253.70 ,4.5
Regular,FDJ55,714,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.023664054, $226.04 ,4.5
Low Fat,NCN43,715,Others,2011,OUT010,Tier 3,Medium,Grocery Store,0.011314423, $122.97 ,4.5
Low Fat,FDZ60,716,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.119547387, $108.96 ,4.5
Low Fat,FDS23,717,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.141108156, $128.30 ,4.5
Low Fat,FDK38,718,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053372768, $149.57 ,4.5
Low Fat,FDR02,719,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022099982, $110.19 ,4.5
Low Fat,FDF17,720,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.042687151, $195.91 ,4.5
Low Fat,FDR43,721,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.161740582, $38.42 ,4.5
Low Fat,DRL11,722,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048092816, $159.29 ,4.5
Low Fat,NCS41,723,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053527105, $185.16 ,4.5
Low Fat,NCP05,724,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025325897, $150.90 ,4.5
Low Fat,NCY18,725,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031201465, $174.71 ,4.5
Low Fat,NCP42,726,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016135764, $195.65 ,4.5
Low Fat,NCP18,727,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028642712, $149.07 ,4.5
Low Fat,NCB18,728,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041355366, $88.75 ,4.5
Low Fat,NCN14,729,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.092060694, $183.76 ,4.5
Low Fat,FDJ45,730,Seafood,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.073524776, $34.82 ,4.5
Low Fat,FDH22,731,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.136512858, $128.77 ,4.5
Low Fat,FDU22,732,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.093441604, $119.11 ,4.5
Low Fat,FDO57,733,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.108879177, $161.56 ,4.5
Low Fat,FDQ21,734,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01945343, $120.88 ,4.5
Low Fat,DRG37,735,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01940856, $156.80 ,4.5
Low Fat,FDB11,736,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.060942632, $225.64 ,4.5
Regular,FDL14,737,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.032208865, $155.00 ,4.5
Regular,FDQ01,738,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.160951491, $256.10 ,4.5
Regular,FDW26,739,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.107223632, $223.58 ,4.5
Regular,FDI05,740,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.127066966, $76.54 ,4.5
Regular,FDE17,741,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.054540159, $152.14 ,4.5
Regular,FDT19,742,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.14526636, $172.91 ,4.5
Regular,FDJ10,743,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.129705008, $141.88 ,4.5
low fat,DRH03,744,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035118834, $93.41 ,4.5
Low Fat,DRD15,745,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.099442329, $233.16 ,4.5
Low Fat,FDY32,746,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.226284381, $163.22 ,4.5
Low Fat,NCG43,747,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.129983688, $93.05 ,4.5
Low Fat,NCO30,748,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.027532258, $185.06 ,4.5
Low Fat,NCQ06,749,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.073229342, $254.10 ,4.5
Low Fat,NCV06,750,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.116750407, $195.25 ,4.5
Low Fat,NCZ54,751,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.145951533, $160.96 ,4.5
Low Fat,NCP50,752,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.035997636, $78.66 ,4.5
Low Fat,FDF46,753,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.164006137, $113.28 ,4.5
Low Fat,FDR33,754,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.04690397, $110.66 ,4.5
Low Fat,FDS57,755,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.181114059, $141.65 ,4.5
Low Fat,DRH01,756,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.171417316, $173.07 ,4.5
Regular,FDJ58,757,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.184359831, $172.68 ,4.5
Regular,FDL57,758,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.117442838, $257.73 ,4.5
Regular,FDT09,759,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.021471456, $131.03 ,4.5
Regular,FDY33,760,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.170186628, $159.03 ,4.5
low fat,FDP09,761,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.059336763, $212.19 ,4.5
Low Fat,FDQ12,762,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035410748, $231.40 ,4.5
Low Fat,FDX43,763,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.085274988, $165.05 ,4.5
Low Fat,FDS47,764,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12888573, $87.69 ,4.5
Low Fat,FDN01,765,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0, $178.44 ,4.5
Low Fat,DRG51,766,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.011539622, $163.55 ,4.5
Low Fat,DRH03,767,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035064318, $92.41 ,4.5
Low Fat,FDB05,768,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.083198341, $246.08 ,4.5
Low Fat,FDA16,769,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0, $219.45 ,4.5
Low Fat,FDD29,770,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018410515, $252.17 ,4.5
Low Fat,FDZ19,771,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.093454899, $175.37 ,4.5
Low Fat,FDY55,772,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0, $255.40 ,4.5
